,source_sentence,human,time,location,label,augmentation
2131,"Pooley moved to the United States in 1986 and lived in Southern California, with an art studio in Santa Monica where he devoted his time to painting.",he,1986,Southern California,creation,"In 1986, Pooley relocated to the United States and resided in Southern California, with an art studio in Santa Monica where he dedicated his time to painting."
2132,"When his father was executed for treason in 1641, William left England for several years, mainly for fear of reprisals (although most of his father's enemies bore no ill-will to his widow or children), and lived for a while in France.",William,1641,England,leave from,"When his father was executed for treason in 1641, William left England for several years, mainly out of fear of reprisals (although most of his father's enemies bore no ill-will to his widow or children), and resided for a while in France."
2133,"Herring died in Washington, D.C., on September 15, 1945.",Herring,"September 15, 1945",Washington,die,"Herring passed away in Washington, D.C., on September 15, 1945."
2134,"Ernest Alexander Pickup was born April 10, 1887, in Shelbyville, Tennessee, the son of George Alexander Pickup and Rebecca Cannon.",George Alexander Pickup,"April 10, 1887",Shelbyville,give birth,"Ernest Alexander Pickup, the son of George Alexander Pickup and Rebecca Cannon, was born on April 10, 1887, in Shelbyville, Tennessee."
2135,"In 1998 he moved to New York, where he received his semikha (rabbinic ordination) from Eliyahu Ben Haim.",Eliyahu Ben Haim,1998,New York,start position,"He relocated to New York in 1998, where he received his semikha (rabbinic ordination) from Eliyahu Ben Haim."
2136,"Castillo qualified to the 2008 Olympic Games in Guatemala in April 2008,  and in May he won the gold medal at the Cheo Aponte Cup in Caguas, Puerto Rico.",he,May,Caguas,competition,"In April 2008, Castillo qualified for the 2008 Olympic Games in Guatemala, and in May he achieved the gold medal at the Cheo Aponte Cup in Caguas, Puerto Rico."
2137,"Miles received her B.A. from the University of Texas at Austin in 1957, and then moved to the University of California, Berkeley where she earned a Ph.D. in 1962 working in Esmond Emerson Snell's lab with Jesse Rabinowitz and Edward Adelberg as her advisors.",Edward Adelberg,1962,"University of California, Berkeley",start position,"Miles earned her B.A. from the University of Texas at Austin in 1957, and then moved to the University of California, Berkeley where she earned a Ph.D. in 1962 working in Esmond Emerson Snell's lab with Jesse Rabinowitz and Edward Adelberg as her advisors."
2138,"He obtained an LLB degree from Makerere University, Kampala in 1971, and practised as an advocate of the High Court of Uganda until 1974, being briefly a judge of the High Court.",He,1971,Kampala,education,"He earned an LLB degree from Makerere University, Kampala in 1971, and practiced as an advocate of the High Court of Uganda until 1974, briefly serving as a judge of the High Court."
2139,"Wiebe leads a long-term study which began in 1997, of flickers at Riske Creek, British Columbia.",Wiebe,1997,Riske Creek,start position,"Wiebe is leading a long-term study, which began in 1997, of flickers at Riske Creek, British Columbia."
2140,"Afterwards held several local offices, was a member of the independent company (military) of Baltimore merchants in 1777, and in November 1782 he was appointed private secretary to the President of Congress.",he,November 1782,Baltimore,start position,"He later held several local offices, was a member of the independent company (military) of Baltimore merchants in 1777, and in November 1782 he was appointed private secretary to the President of Congress."
2141,"Lucy Harrison was born on 17 January 1844 in Birkenhead, England as the youngest of eight children of Daniel Harrison and his wife, Anna Botham of Uttoxeter, England.",Daniel Harrison,17 January 1844,Birkenhead,give birth,"Lucy Harrison was born on 17 January 1844 in Birkenhead, England as the youngest of eight children of Daniel Harrison and his wife, Anna Botham of Uttoxeter, England."
2142,"From 2014 to 2021, Jones was an attorney at Baria-Jones, PLLC in Bay St. Louis, Mississippi.",Jones,From 2014 to 2021,Mississippi,position held,"From 2014 to 2021, Jones worked as an attorney at Baria-Jones, PLLC in Bay St. Louis, Mississippi."
2143,"Later in 1952, Jackson lowered the 100 m world record time to 11.4, running this new record in a meet at Gifu, Japan on 4 October 1952.",Jackson,4 October 1952,Gifu,competition,"Later in 1952, Jackson set the 100 m world record time to 11.4, running this new record in a meet at Gifu, Japan on 4 October 1952."
2144,"They moved to Switzerland, where Francisco Eppens Campillo, the artist's father, was born in 1888.",They,1888,Switzerland,birth,"They relocated to Switzerland, where Francisco Eppens Campillo, the artist's father, was born in 1888."
2145,"Mamoru Samuragochi (佐村河内 守, Samuragōchi Mamoru, born 21 September 1963) is a Japanese composer from Hiroshima Prefecture who falsely stated that he was totally deaf.",he,21 September 1963,Hiroshima Prefecture,birth,"Mamoru Samuragochi (佐村河内 守, Samuragōchi Mamoru, born 21 September 1963) is a Japanese composer from Hiroshima Prefecture who falsely claimed that he was totally deaf."
2146,"He appeared before the privy council in 1616, which bound him to exhibit annually one of his principal kinsmen; that he should reside at his castle at Breachacha, and that he should not keep more than one tun of wine.",he,1616,Breachacha,settlement,"He appeared before the privy council in 1616, which bound him to exhibit annually one of his principal kinsmen; that he should reside at his castle at Breachacha, and that he should not keep more than one tun of wine."
2147,The couple fled Germany in 1937 when Ernst accepted a Rockefeller Fellowship at the University of Chicago.,Ernst,1937,Germany,leave from,The couple fled Germany in 1937 when Ernst accepted a Rockefeller Fellowship at the University of Chicago.
2148,"After his return to Japan, he collaborated on Le Corbusier's National Museum of Western Art in Tokyo in 1959.",he,1959,Tokyo,creation,"After his return to Japan, he contributed to Le Corbusier's National Museum of Western Art in Tokyo in 1959."
2149,He went up to the University of Sydney and in 1892 graduated as a Bachelor of Arts and in 1898 LL.B.,He,1892,University of Sydney,education,He attended the University of Sydney and in 1892 graduated as a Bachelor of Arts and in 1898 LL.B.
2150,She married Kostas Stylianopoulos in London in 1922.,She,1922,London,marry,Kostas Stylianopoulos was married by her in London in 1922.
2151,Resanovic moved to the United States where he has been a naturalized citizen since 1976.,Resanovic,1976,United States,settlement,Resanovic has been a naturalized citizen since 1976 after moving to the United States.
2152,"In 1948, Kyle returned to Bryan, Texas, where he lived for the rest of his life.",he,1948,Bryan,settlement,"In 1948, Kyle returned to Bryan, Texas, where he resided for the remainder of his life."
2153,He graduated in botany in 1952 from the University of Hawaii with an M.S. and in 1957 from Stanford University with a Ph.D.,He,1952,University of Hawaii,education,"In 1952, he graduated in botany from the University of Hawaii with an M.S. and in 1957 from Stanford University with a Ph.D."
2154,"He then went to NTNU from 2003 to 2004, and studied state science, international and imperative politics and got a ex.phil in political risk.",He,2003 to 2004,NTNU,education,"From 2003 to 2004, he attended NTNU and studied state science, international and imperative politics, and obtained an ex.phil in political risk."
2155,"Starting in December 1904 he taught a course on Villon at the école des hautes études that was attended by, among others, Michel Bréal, édouard and Pierre Champion, Paul Fort, Max Jacob, Auguste Longnon, Pablo Picasso, Catherine Pozzi (daughter of one of his doctors), André Salmon and Louis Thomas.",he,December 1904,école des hautes études,education,"Beginning in December 1904, a course on Villon was taught by him at the école des hautes études that was attended by, among others, Michel Bréal, édouard and Pierre Champion, Paul Fort, Max Jacob, Auguste Longnon, Pablo Picasso, Catherine Pozzi (daughter of one of his doctors), André Salmon, and Louis Thomas."
2156,"Born in 1864 in Pomerania (now part of Germany) Albert Zahn immigrated to the United States as a child, settling in Door County, Wisconsin where he worked as a farmer.",Albert Zahn,1864,Pomerania,birth,"Albert Zahn, born in 1864 in Pomerania (now part of Germany), immigrated to the United States as a child, settling in Door County, Wisconsin, where he worked as a farmer."
2157,"In 1926, he tied for 3rd-5th in Budapest (1st FIDE tournament, Mario Monticelli and Grünfeld won).",Grünfeld,1926,Budapest,competition,"In 1926, he tied for 3rd-5th in Budapest (1st FIDE tournament, Mario Monticelli and Grünfeld won)."
2158,"They had three children:He died on March 14, 1918, in Thomasville, Georgia, and is interred at Lowell Cemetery.",He,"March 14, 1918",Thomasville,die,"They had three children:He died on March 14, 1918, in Thomasville, Georgia, and is interred at Lowell Cemetery."
2159,"He returned to Braunschweig in 1868 to become a teacher for Ancient Greek, Latin, history, and geography at the prestigious Martino-Katharineum secondary school.",He,1868,Braunschweig,start position,"He returned to Braunschweig in 1868 to become a teacher for Ancient Greek, Latin, history, and geography at the prestigious Martino-Katharineum secondary school."
2160,"Richard's second wife in 1630 was Elizabeth Sandys (née Cornwallis) who in 1657 endowed a grammar school in Pickering, which continues today as Lady Lumley's School.",Richard,1657,Pickering,start org,"Richard's second wife in 1630 was Elizabeth Sandys (née Cornwallis) who in 1657 endowed a grammar school in Pickering, which continues today as Lady Lumley's School."
2161,"In the fall of 1864, Rockwell was assigned to survey work in New York Harbor.",Rockwell,the fall of 1864,New York Harbor,go to,"Elizabeth Sandys (née Cornwallis) became Richard's second wife in 1630 and in 1657 she endowed a grammar school in Pickering, which continues today as Lady Lumley's School."
2162,He joined Had?m Süleyman Pasha's campaign to India in 1538 (see Ottoman naval expeditions in the Indian Ocean).,He,1538,India,military action,"In the autumn of 1864, Rockwell was given the task of survey work in New York Harbor."
2163,"She debuted as a lyricist in 1999, on Kotor Music Festival, where she performed her song ""Sad mogu da ti ka?em sve"" in a duet with Igor Perazi?.",She,1999,Kotor Music Festival,performance,He participated in Had?m Süleyman Pasha's campaign to India in 1538 (see Ottoman naval expeditions in the Indian Ocean).
2164,"Octávio Barbosa died on January 31, 1997, in Petrópolis, RJ.",Octávio Barbosa,"January 31, 1997",Petrópolis,die,"In 1999, she made her debut as a lyricist at the Kotor Music Festival, where she performed her song ""Sad mogu da ti ka?em sve"" in a duet with Igor Perazi?."
2165,"As an artist her religious paintings are on permanent display at various churches and she was invited to mount a one-woman exhibition, inaugurated October 16, 2009, at the Mision del Sol.",she,"October 16, 2009",Mision del Sol,assembly,"On January 31, 1997, Octávio Barbosa passed away in Petrópolis, RJ."
2166,"After the Fall of Kabul in 2021, he left the city.",he,2021,Kabul,leave from,"Her religious paintings as an artist are permanently displayed at various churches and she was invited to hold a one-woman exhibition, inaugurated on October 16, 2009, at the Mision del Sol."
2167,"Aldwinckle lived in Cologne and Berlin, accompanying her husband John in his role at MI6, moving initially in the 1950s.",John,the 1950s,Cologne,settlement,"Following the Fall of Kabul in 2021, he departed the city."
2168,"On December 17, 1994, Jugan and Boo Boo Henderson beat Buddah and T. Rantula in a tag team street fight match in Parkersburg, West Virginia.",Jugan,"December 17, 1994",Parkersburg,competition,"Living in Cologne and Berlin, Aldwinckle accompanied her husband John in his role at MI6, initially moving in the 1950s."
2169,"From 1962 to 1964, Brunett served as a chaplain at the University of Michigan in Ann Arbor.",Brunett,From 1962 to 1964,University of Michigan,position held,"On December 17, 1994, Jugan and Boo Boo Henderson defeated Buddah and T. Rantula in a tag team street fight match in Parkersburg, West Virginia."
2170,"It was his last voyage; he died at 42 Half Moon Street, Piccadilly, London in the annexe of the Naval and Military Club on 11 September 1921 of heart failure following influenza.",he,11 September 1921,Piccadilly,die,"His final journey ended with his passing at 42 Half Moon Street, Piccadilly, London in the annexe of the Naval and Military Club on 11 September 1921 due to heart failure following influenza."
2171,"Clay died on October 12, 1924, one day shy of her 85th birthday, and is interred at Lexington Cemetery.",Clay,"October 12, 1924",Lexington Cemetery,die,"Clay passed away on October 12, 1924, just one day before her 85th birthday, and is buried at Lexington Cemetery."
2172,"Born in Flatbush, Brooklyn, on October 5, 1855 to Nancy Cassidy and Francis Anderson, Walker was the youngest of five children.",Walker,"October 5, 1855",Flatbush,birth,"Nancy Cassidy and Francis Anderson welcomed Walker into the world in Flatbush, Brooklyn, on October 5, 1855, making her the youngest of five children."
2173,"He was found dead at his home in Camden on February 5, 1934, having been ill for a fortnight.",He,"February 5, 1934",Camden,die,"He was discovered deceased at his residence in Camden on February 5, 1934, after being unwell for a fortnight."
2174,"On 6 September 1945, Sturdee received the surrender of Japanese forces in the First Army area from General Hitoshi Imamura, the commander of the Japanese Eighth Area Army, and Admiral Jinichi Kusaka, the commander of the South East Area Fleet, in a ceremony held on the deck of the British aircraft carrier  at Rabaul.",Sturdee,6 September 1945,Rabaul,military action,"Sturdee accepted the surrender of Japanese forces in the First Army area from General Hitoshi Imamura, the commander of the Japanese Eighth Area Army, and Admiral Jinichi Kusaka, the commander of the South East Area Fleet, in a ceremony held on the deck of the British aircraft carrier at Rabaul on 6 September 1945."
2175,"In 1983 he returned to Adelaide to assist the ailing Archbishop James Gleeson, and in 1985 he was installed as Gleeson's successor.",Gleeson,1983,Adelaide,start position,"In 1983, he came back to Adelaide to aid the ailing Archbishop James Gleeson, and in 1985, he was inaugurated as Gleeson's successor."
2176,"In 1967, with Attardi, Caruso, Gianquinto, Guccione, Manzo, Laura Mazza and Alberto Mondadori, he founded the Galleria Il Gabbiano in Rome.",Caruso,1967,Rome,start org,"In 1967, with Attardi, Caruso, Gianquinto, Guccione, Manzo, Laura Mazza, and Alberto Mondadori, he established the Galleria Il Gabbiano in Rome."
2177,Hilton migrated to Australia with his family in 1970 and grew up in the Melbourne suburb of Warrandyte.,Hilton,1970,Australia,settlement,Hilton relocated to Australia with his family in 1970 and grew up in the Melbourne suburb of Warrandyte.
2178,"Yurkevich was in 1851, appointed the position of instructor in Philosophical Sciences at the Kyiv Theological Academy.",Yurkevich,1851,Kyiv Theological Academy,start position,"In 1851, Yurkevich was appointed as an instructor in Philosophical Sciences at the Kyiv Theological Academy."
2179,He was vicar of Brechin parish and a canon of the cathedral when provided bishop of Brechin 4 July 1488.,He,4 July 1488,Brechin,start position,He served as vicar of Brechin parish and a canon of the cathedral when he was appointed bishop of Brechin on 4 July 1488.
2180,"Dickens and Seeger became active in the Baltimore-Washington area bluegrass and folk music scene during the 1960s, playing in living rooms and later on in bars with Bob Baker's bluegrass band as the area's folk movement began to gain traction.",Bob Baker's,the 1960s,Baltimore,performance,"Dickens and Seeger became active in the Baltimore-Washington area bluegrass and folk music scene during the 1960s, playing in living rooms and later on in bars with Bob Baker's bluegrass band as the area's folk movement began to gain traction."
2181,"Between 1669 and 1676 he served as a governor of Dutch Malabar and employed twenty-five people on his book Hortus Malabaricus, describing 740 plants in the region.",he,Between 1669 and 1676,Malabar,position held,"During the 1960s, Dickens and Seeger started to get involved in the Baltimore-Washington area bluegrass and folk music scene, performing in living rooms and later in bars with Bob Baker's bluegrass band as the folk movement in the area began to gain traction."
2182,"He moved to Cornell University in 1947, where he served as chairman emeritus of the Department of Economics (a position he held for the rest of his life), as a member of the Board of Trustees of the university and as Dean of the College of Arts and Sciences.",He,1947,Cornell University,start position,"Between 1669 and 1676, he held the position of governor of Dutch Malabar and had twenty-five people working on his book Hortus Malabaricus, which describes 740 plants in the region."
2183,"Brandon Stoddard was born in Bridgeport, Connecticut in on March 31, 1937.",Brandon Stoddard,"March 31, 1937",Bridgeport,birth,"After moving to Cornell University in 1947, he took on the role of chairman emeritus of the Department of Economics, a position he held for the rest of his life, and also served as a member of the Board of Trustees of the university and as Dean of the College of Arts and Sciences."
2184,"He married in Roschütz on 31 October 1819 Caroline Christiane Freiin von Brandenstein (Gütterlitz, 2 October 1798 – Dresden, 17 October 1880) and had issue, among whom a daughter Caroline Adelheid Ernestine von Sch?nberg (Hain, near Gera, 31 July 1826 – Schloss Moraván, 16 February 1894), who married as his first wife in Weningen-Auma on 6 March 1849 Curt Franz Wenzel Christoph Erdmann Graf Zedtwitz von Moraván und Duppau (Asch, 3 October 1822 – Pressburg, 19 November 1909), Lord of Duppau in the Duppau Mountains with Sachsengriin in the Kingdom of Bohemia, and of Moraván with Duzó, Hubina, Nagy and Kis-Modó in the Kingdom of Hungary, and had issue.",Hubina,31 October 1819,Roschütz,marry,"Brandon Stoddard was born in Bridgeport, Connecticut on March 31, 1937."
2185,"In 1981, he was assigned as an operations and tactics instructor at the Marine Corps Command and Staff College at Quantico, Virginia.",he,1981,Quantico,start position,"On 31 October 1819, he married Caroline Christiane Freiin von Brandenstein in Roschütz and had children, including a daughter named Caroline Adelheid Ernestine von Sch?nberg."
2186,"In 2011, Higgins travelled to where Boucher was living in Nashville to record her third album, which is co-produced by Boucher and Brad Jones.",Brad Jones,2011,Nashville,creation,"He was appointed as an operations and tactics instructor at the Marine Corps Command and Staff College at Quantico, Virginia in 1981."
2187,In 1934 he was awarded an honorary Doctorate of Law from the University of St Andrews.,he,1934,University of St Andrews,education,"Higgins went to Nashville in 2011 to record her third album with Boucher, who was living there at the time. The album was co-produced by Boucher and Brad Jones."
2188,"Jongsma began collaborating with husband Kel O'Neill in 2006 while attending an artist residency in Prishtina, Kosovo.",Jongsma,2006,Prishtina,assembly,He received an honorary Doctorate of Law from the University of St Andrews in 1934.
2189,"Aquilina made his official debut, as a lone sailor, at the 2000 Summer Olympics in Sydney, where he placed thirty-seventh in the Laser class with a remarkable grade of 272, surpassing Singapore's Stanley Tan by a three-point advantage.",Aquilina,2000,Sydney,competition,"Jongsma started collaborating with her husband Kel O'Neill in 2006 while they were at an artist residency in Prishtina, Kosovo."
2190,"Wood's first track appearance in his Kelly Racing Commodore was at the V8 Supercars Official Category Test Day, at Winton Raceway on 9 March 2009, where he was joined by the other three Kelly Racing entries, and all other Victorian-based V8 Supercar teams.",Wood,9 March 2009,Winton Raceway,competition,"Wood made his first appearance on the track in his Kelly Racing Commodore at the V8 Supercars Official Category Test Day, at Winton Raceway on 9 March 2009, where he was joined by the other three Kelly Racing entries, and all other Victorian-based V8 Supercar teams."
2191,"Thereafter, he entered the United States Military Academy, more commonly known as West Point, at the age of seventeen.",he,the age of seventeen,United States Military Academy,education,"Thereafter, Wood entered the United States Military Academy, more commonly known as West Point, at the age of seventeen."
2192,"Victoria suffered a stroke soon after attending the christening of her fifth grandchild, Mechtilde of Leiningen, in February 1936.",Victoria,February 1936,Leiningen,ceremony,"Victoria suffered a stroke soon after attending the christening of her fifth grandchild, Mechtilde of Leiningen, in February 1936."
2193,"John William Bauer (born February 6, 1969, in Champlin, Minnesota, United States) is an American cross-country skier.",John William Bauer,"February 6, 1969",Champlin,birth,"John William Bauer (born February 6, 1969, in Champlin, Minnesota, United States) is an American cross-country skier."
2194,"He was awarded the Medal of Honor, along with First Lieutenant Wilber Wilder, for rescuing a fellow soldier under heavy fire while fighting the Apache at Horseshoe Canyon on April 23, 1882, which he received fourteen years later.",He,"April 23, 1882",Horseshoe Canyon,military action,"He and First Lieutenant Wilber Wilder were awarded the Medal of Honor for rescuing a fellow soldier under heavy fire while fighting the Apache at Horseshoe Canyon on April 23, 1882, which he received fourteen years later."
2195,"The next day, outside of Metz, he stayed behind while his platoon withdrew and then destroyed another enemy machine-gun nest.",he,The next day,Metz,military action,"The next day, outside of Metz, he stayed behind while his platoon withdrew and then destroyed another enemy machine-gun nest."
2196,That same year he moved to Los Angeles to study film scoring professionally at the University of Southern California's Scoring for Motion Pictures and Television program.,he,That same year,Los Angeles,education,That same year he moved to Los Angeles to study film scoring professionally at the University of Southern California's Scoring for Motion Pictures and Television program.
2197,He moved to London in the mid-1990s and began working with producer Joel Bogen.,Joel Bogen,the mid-1990s,London,go to,He relocated to London in the mid-1990s and began working with producer Joel Bogen.
2198,"At 18, she moved east to Manhattan and received a BFA from the Tisch School of the Arts.",she,18,Manhattan,education,"At 18, she moved east to Manhattan and received a BFA from the Tisch School of the Arts."
2199,"He was educated at University College School, and studied for a time at University College London, and the University of Edinburgh and University of Cambridge in 1898 and achieved Doctor of Civil Law in University of Oxford in 1903.",He,1898,University College School,education,"He was educated at University College School, and studied for a time at University College London, and the University of Edinburgh and University of Cambridge in 1898 and achieved Doctor of Civil Law in University of Oxford in 1903."
2200,"From 1989 to 1994 she worked across East London Boroughs involved in mainly hate and domestic violence investigations, and was given responsibility for Community and Youth involvement Police Volunteer Cadets and Young people vulnerable from being involved in crime.",she,1989 to 1994,Boroughs,position held,"Between 1989 and 1994, she was involved in hate and domestic violence investigations across East London Boroughs, and was given responsibility for Community and Youth involvement Police Volunteer Cadets and Young people vulnerable from being involved in crime."
2201,"Clive Crook (born 1955 in Yorkshire, England) is a former columnist for the Financial Times and the National Journal; a former senior editor at The Atlantic Monthly, and now writes a column and editorials for Bloomberg News.",Clive Crook,1955,Yorkshire,birth,"Clive Crook (born 1955 in Yorkshire, England) is a former columnist for the Financial Times and the National Journal; a former senior editor at The Atlantic Monthly, and now writes a column and editorials for Bloomberg News."
2202,"Richard of York was born about 20 July 1385 at Conisbrough Castle, Yorkshire, the second son of Edmund of Langley, 1st Duke of York, and his first wife, Isabella of Castille.",Isabella,20 July 1385,Yorkshire,give birth,"Richard of York was born about 20 July 1385 at Conisbrough Castle, Yorkshire, the second son of Edmund of Langley, 1st Duke of York, and his first wife, Isabella of Castille."
2203,"Cordovez returned to Panama in 2011 and participated in the female version of Neil Simon's The Odd Couple, where she played Vera.",she,2011,Panama,performance,"Cordovez returned to Panama in 2011 and participated in the female version of Neil Simon's The Odd Couple, where she played Vera."
2204,"Nelson played Little League Baseball in Henderson, Nevada where he was a 5-time All Star and member of the 2011 Nevada Junior State Champions coached by his dad.",he,2011,Henderson,competition,"Nelson played Little League Baseball in Henderson, Nevada where he was a 5-time All Star and member of the 2011 Nevada Junior State Champions coached by his dad."
2205,"The Americans, Richard T. Ely, Simon N. Patten, Edmund J. James, and Joseph F. Johnson studied under Conrad at Halle in the late 1870s, thus profoundly influencing the Harvard University Department of Economics.",Conrad,the late 1870s,Halle,position held,"The Americans, Richard T. Ely, Simon N. Patten, Edmund J. James, and Joseph F. Johnson studied under Conrad at Halle in the late 1870s, thus profoundly influencing the Harvard University Department of Economics."
2206,This would certainly mean that he never met Caravaggio in Rome; that artist had fled Rome on a murder charge in 1606.,Caravaggio,1606,Rome,leave from,This would certainly mean that he never met Caravaggio in Rome; that artist had fled Rome on a murder charge in 1606.
2207,Dubai Abulhoul is an Emirati author and columnist who was born in the United Arab Emirates on 1996.,Dubai Abulhoul,1996,United Arab Emirates,birth,Dubai Abulhoul is an Emirati author and columnist who was born in the United Arab Emirates on 1996.
2208,"Simón Bonifacio Rodríguez Rodríguez (Juncalillo, Gáldar, 15 April 1921 – Las Palmas de Gran Canaria, 17 August 2012) was a Spanish teacher, businessman, judge and politician.",Simón Bonifacio Rodríguez Rodríguez,15 April 1921,Juncalillo,birth,"Simón Bonifacio Rodríguez Rodríguez (Juncalillo, Gáldar, 15 April 1921 – Las Palmas de Gran Canaria, 17 August 2012) was a Spanish teacher, businessman, judge and politician."
2209,"From 1941 to 1942, he worked as an underwater welder for the J. A. Jones Construction Company in Brunswick, Georgia building Liberty ships.",he,1941 to 1942,Brunswick,position held,"From 1941 to 1942, he worked as an underwater welder for the J. A. Jones Construction Company in Brunswick, Georgia building Liberty ships."
2210,"When Arthur broke his arm ice skating in Tokyo in May 1947, the Australian Associated Press reported that ""[d]octors said he behaved 'like a soldier'"".",Arthur,May 1947,Tokyo,accident,"When Arthur had his arm broken while ice skating in Tokyo in May 1947, the Australian Associated Press reported that ""[d]octors said he behaved 'like a soldier'""."
2211,She met with Chaplin during his brief return to the United States in 1972.,She,1972,United States,meet,She had a meeting with Chaplin during his brief return to the United States in 1972.
2212,"Laache was born in 1831 in Ullensaker, Norway.",Laache,1831,Ullensaker,birth,"Laache's birth took place in 1831 in Ullensaker, Norway."
2213,"He died of his injuries on 26 August 1918, and was buried in Plot 6, Row A, Grave 8, Montecchio Precalcino Communal Cemetery Extension, Italy.",He,26 August 1918,Italy,die,"He passed away due to his injuries on 26 August 1918, and was laid to rest in Plot 6, Row A, Grave 8, Montecchio Precalcino Communal Cemetery Extension, Italy."
2214,Ackerman was a featured author at the Miami Book Fair in 2017.,Ackerman,2017,Miami Book Fair,assembly,Ackerman made an appearance as an author at the Miami Book Fair in 2017.
2215,He was born into slavery in Missouri in the early 19th century and was sold at auction more than once across the state.,He,the early 19th century,Missouri,birth,He came into the world as a slave in Missouri in the early 19th century and was auctioned off more than once across the state.
2216,Hillsborough County detectives say Shakespeare died April 6 or 7 in the single-story ranch home in Plant City.,Shakespeare,April 6 or,Plant City,die,Hillsborough County detectives say Shakespeare passed away on April 6 or 7 in the single-story ranch home in Plant City.
2217,"Back at Kingston, he became Principal of the College of Art in 1962, progressing to Assistant Director of the Kingston Polytechnic and was Head of the Division of Design from 1970 until retirement in 1972.",he,1962,College of Art,start position,"Upon returning to Kingston, he took on the role of Principal of the College of Art in 1962, eventually becoming Assistant Director of the Kingston Polytechnic and serving as Head of the Division of Design from 1970 until retirement in 1972."
2218,"Fleming was born in Sunville, Ardpatrick, County Limerick on 16 February 1948, the eldest of five children to John J. Fleming, a farmer, and his wife Nola (née O'Grady).",Fleming,16 February 1948,"Sunville, Ardpatrick",birth,"Fleming entered the world in Sunville, Ardpatrick, County Limerick on 16 February 1948, the eldest of five children to John J. Fleming, a farmer, and his wife Nola (née O'Grady)."
2219,"Renetta Yemika Lowe-Bridgewater (September 30, 1982 – December 20, 2010), known by the stage name Magnolia Shorty, was an American rapper in the New Orleans-based bounce music scene.",Magnolia Shorty,"September 30, 1982",New Orleans,birth,"Renetta Yemika Lowe-Bridgewater (September 30, 1982 – December 20, 2010), known by the stage name Magnolia Shorty, was an American rapper in the New Orleans-based bounce music scene."
2220,"Pendleton died the next month on July 26 in Newton, Massachusetts of a paralytic stroke.",Pendleton,July 26,Newton,die,"Pendleton passed away the following month on July 26 in Newton, Massachusetts of a paralytic stroke."
2221,"Pratt died in Utica, New York on April 27, 1840, en route to Saratoga, New York for rest.",Pratt,"April 27, 1840",Utica,die,"Pratt passed away in Utica, New York on April 27, 1840, en route to Saratoga, New York for rest."
2222,"She became president and professor of English at St. Mary-of-the-Woods College, serving from 1998 to 2007.St",She,1998 to 2007.St,St. Mary-of-the-Woods College,position held,"She served as president and professor of English at St. Mary-of-the-Woods College, from 1998 to 2007."
2223,"Gail Zappa died in Los Angeles on October 7, 2015.",Gail Zappa,"October 7, 2015",Los Angeles,die,"Gail Zappa passed away in Los Angeles on October 7, 2015."
2224,"Jean Jules Amann (8 March 1859, Lausanne – 1 February 1939, Lausanne) was a Swiss pharmacist and botanist.",Jean Jules Amann,8 March 1859,Lausanne,birth,"Jean Jules Amann (8 March 1859, Lausanne – 1 February 1939, Lausanne) was a Swiss pharmacist and botanist."
2225,"On the other hand, in 1502, the Aragonese Corts gathered in Saragossa and pledged an oath to Joanna as heiress-presumptive, but the Archbishop of Saragossa expressed firmly that this oath could not establish jurisprudence, that is to say, modify the right of the succession, except by virtue of a formal agreement between the Cortes and the King.",Joanna,1502,Saragossa,assembly,"On the other hand, in 1502, the Aragonese Corts gathered in Saragossa and pledged an oath to Joanna as heiress-presumptive, but the Archbishop of Saragossa expressed firmly that this oath could not establish jurisprudence, that is to say, modify the right of the succession, except by virtue of a formal agreement between the Cortes and the King."
2226,"He fled to Switzerland, but managed to return to France in 1819 thanks to the protection of his friend Boissy d'Anglas.",He,1819,Switzerland,go to,"He fled to Switzerland, but managed to return to France in 1819 thanks to the protection of his friend Boissy d'Anglas."
2227,"Barclay de Tolly died at Insterburg (Chernyakhovsk), East Prussia, on 26 May 1818 (14 May, Old Style) on his way from his Livonian manor to Germany, where he wanted to renew his health.",Barclay de Tolly,26 May 1818,Insterburg,die,"Barclay de Tolly passed away at Insterburg (Chernyakhovsk), East Prussia, on 26 May 1818 (14 May, Old Style) on his way from his Livonian manor to Germany, where he wanted to renew his health."
2228,"On January 24, 2017, Bobek married circus performer Pedro Santos Leal in Florida.",Bobek,"January 24, 2017",Florida,marry,"On January 24, 2017, Bobek married circus performer Pedro Santos Leal in Florida."
2229,He graduated from Las Cruces High School in New Mexico in 1993 where he won several state track titles and also played on the basketball team.,He,1993,Las Cruces High School,education,He graduated from Las Cruces High School in New Mexico in 1993 where he won several state track titles and also played on the basketball team.
2230,"Mira Gincburg was born on 13 January 1884 to Dr. Rafael Saveliev and Ravka Salmanowa Gordin, a Jewish couple, in Dinaburg, now in Latvia.",Rafael Saveliev,13 January 1884,Dinaburg,give birth,"Mira Gincburg was born on 13 January 1884 to Dr. Rafael Saveliev and Ravka Salmanowa Gordin, a Jewish couple, in Dinaburg, now in Latvia."
2231,"Plummer's wife, Zora B. Rucker graduated from the Armour Institute in Chicago in about 1905 and worked as a lecturer in home economics, often traveling throughout the country.",Zora B. Rucker,about 1905,Chicago,education,"Mira Gincburg entered the world on 13 January 1884 to Dr. Rafael Saveliev and Ravka Salmanowa Gordin, a Jewish couple, in Dinaburg, now in Latvia."
